kicks,marks,handballs,disposals,effective_disposals,disposal_efficiency_percentage,goals,behinds,hitouts,tackles,rebounds,inside_fifties,clearances,clangers,free_kicks_for,free_kicks_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside_fifty,one_percenters,bounces,goal_assists,time_on_ground_percentage,afl_fantasy_score,supercoach_score,centre_clearances,stoppage_clearances,score_involvements,metres_gained,turnovers,intercepts,tackles_inside_fifty,contest_def_losses,contest_def_one_on_ones,contest_off_one_on_ones,contest_off_wins,def_half_pressure_acts,effective_kicks,f50_ground_ball_gets,ground_ball_gets,hitouts_to_advantage,hitout_win_percentage,intercept_marks,marks_on_lead,pressure_acts,rating_points,ruck_contests,score_launches,shots_at_goal,spoils,match_margin,team_behinds,team_goals,team_score,aa_team,aa_squad,coaches_votes,captain,kicks_prop,marks_prop,handballs_prop,disposals_prop,goals_prop,behinds_prop,tackles_prop,inside_fifties_prop,clearances_prop,contested_possessions_prop,uncontested_possessions_prop,contested_marks_prop,marks_inside_fifty_prop,goal_assists_prop,turnovers_prop,shots_at_goal_prop,match_outcomeDraw,match_outcomeLoss,match_outcomeWin,player_positionBPL,player_positionBPR,player_positionC,player_positionCHB,player_positionCHF,player_positionFB,player_positionFF,player_positionFPL,player_positionFPR,player_positionHBFL,player_positionHBFR,player_positionHFFL,player_positionHFFR,player_positionINT,player_positionR,player_positionRK,player_positionRR,player_positionSUB,player_positionWL,player_positionWR,pred,player_name,brownlow_votes,match_id,match_round,player_team,pred_rank,predicted_votes
8,4,3,11,9,82,0,0,0,3,0,3,0,1,0,0,2,9,0,0,0,0,1,76,54,54,0,0,5,240,1,0,0,0,0,3,1,8,7,0,2,0,0,0,0,17,6.2,0,0,0,0,25,14,11,80,0,0,0,0,0.017738359201773836,0.023391812865497075,0.009933774834437087,0.014608233731739707,0,0,0.037037037037037035,0.02586206896551724,0,0.007017543859649123,0.02040816326530612,0,0,0.047619047619047616,0.007042253521126761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0018543675541877747,Marc Murphy,0,15875,1,Carlton,41,0
11,2,16,27,21,78,0,0,0,3,1,3,3,1,1,0,12,13,0,0,3,0,1,81,84,111,1,2,8,283,2,10,0,0,0,0,0,13,8,0,11,0,0,0,0,20,16.1,0,5,0,1,25,15,15,105,0,0,0,0,0.024390243902439025,0.011695906432748537,0.052980132450331126,0.035856573705179286,0,0,0.037037037037037035,0.02586206896551724,0.04054054054054054,0.042105263157894736,0.02947845804988662,0,0,0.047619047619047616,0.014084507042253521,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035506296902894974,Shane Edwards,0,15875,1,Richmond,11,0
9,4,1,10,6,60,4,2,0,5,0,3,0,3,1,1,6,4,1,3,0,0,0,90,85,93,0,0,8,349,2,2,3,0,0,6,1,2,5,2,4,0,0,0,3,17,14.7,3,2,7,0,25,15,15,105,0,0,5,0,0.019955654101995565,0.023391812865497075,0.0033112582781456954,0.013280212483399735,0.15384615384615385,0.07692307692307693,0.06172839506172839,0.02586206896551724,0,0.021052631578947368,0.009070294784580499,0.058823529411764705,0.11538461538461539,0,0.014084507042253521,0.109375,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6915056109428406,Jack Riewoldt,0,15875,1,Richmond,4,0
19,7,12,31,21,68,2,2,0,4,0,8,5,2,2,1,14,16,2,5,2,0,4,89,131,158,2,3,12,619,4,2,0,0,0,4,3,4,10,6,8,0,0,0,2,13,29.8,0,2,6,0,25,15,15,105,0,0,10,0,0.04212860310421286,0.04093567251461988,0.039735099337748346,0.041168658698539175,0.07692307692307693,0.07692307692307693,0.04938271604938271,0.06896551724137931,0.06756756756756757,0.04912280701754386,0.036281179138321996,0.11764705882352941,0.19230769230769232,0.19047619047619047,0.028169014084507043,0.09375,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6641969680786133,Dustin Martin,0,15875,1,Richmond,1,3
4,4,5,9,8,89,0,0,2,1,2,1,0,2,2,1,4,6,0,0,4,0,1,88,39,49,0,0,3,183,3,4,0,0,0,0,0,3,4,0,2,0,18.2,1,0,5,5,11,2,0,4,25,15,15,105,0,0,0,0,0.008869179600886918,0.023391812865497075,0.016556291390728478,0.01195219123505976,0,0,0.012345679012345678,0.008620689655172414,0,0.014035087719298246,0.013605442176870748,0,0,0.047619047619047616,0.02112676056338028,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.414753294549882e-4,David Astbury,0,15875,1,Richmond,23,0
9,2,1,10,6,60,0,0,0,0,5,0,1,4,2,2,6,4,0,0,7,0,0,98,31,52,0,1,1,173,3,8,0,0,5,0,0,4,5,0,3,0,0,2,0,4,3,0,1,0,7,25,14,11,80,0,0,0,0,0.019955654101995565,0.011695906432748537,0.0033112582781456954,0.013280212483399735,0,0,0,0,0.013513513513513514,0.021052631578947368,0.009070294784580499,0,0,0,0.02112676056338028,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032169432379305363,Liam Jones,0,15875,1,Carlton,17,0
4,2,6,10,8,80,0,0,0,2,0,1,0,2,0,1,6,2,0,0,2,0,0,92,35,40,0,0,2,67,0,8,0,0,1,0,0,8,2,0,6,0,0,2,0,9,5.6,0,2,0,2,25,15,15,105,0,0,0,0,0.008869179600886918,0.011695906432748537,0.019867549668874173,0.013280212483399735,0,0,0.024691358024691357,0.008620689655172414,0,0.021052631578947368,0.0045351473922902496,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005800575949251652,Dylan Grimes,0,15875,1,Richmond,15,0
16,8,13,29,16,55,0,0,0,1,4,1,7,5,0,1,14,14,1,0,2,0,1,75,99,94,1,6,6,319,6,4,0,0,0,0,0,15,6,0,12,0,0,0,0,21,6.1,0,1,0,1,25,14,11,80,0,0,0,0,0.03547671840354767,0.04678362573099415,0.04304635761589404,0.03851261620185923,0,0,0.012345679012345678,0.008620689655172414,0.0945945945945946,0.04912280701754386,0.031746031746031744,0.058823529411764705,0,0.047619047619047616,0.04225352112676056,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03086121939122677,Ed Curnow,0,15875,1,Carlton,12,0
12,3,13,25,17,68,0,1,0,4,4,1,9,5,2,1,12,13,0,0,1,1,0,74,87,82,3,6,9,380,5,2,0,0,0,0,0,12,6,0,9,0,0,1,0,24,13.2,0,3,2,0,25,15,15,105,0,0,0,0,0.026607538802660754,0.017543859649122806,0.04304635761589404,0.033200531208499334,0,0.038461538461538464,0.04938271604938271,0.008620689655172414,0.12162162162162163,0.042105263157894736,0.02947845804988662,0,0,0,0.035211267605633804,0.03125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00777254207059741,Dion Prestia,0,15875,1,Richmond,14,0
6,4,5,11,6,55,1,1,1,0,0,2,0,4,0,2,4,7,0,2,2,0,0,92,42,43,0,0,4,183,5,0,0,0,0,4,1,0,2,2,4,0,11.1,0,2,7,2.3,9,0,3,1,25,15,15,105,0,0,0,0,0.013303769401330377,0.023391812865497075,0.016556291390728478,0.014608233731739707,0.038461538461538464,0.038461538461538464,0,0.017241379310344827,0,0.014035087719298246,0.015873015873015872,0,0.07692307692307693,0,0.035211267605633804,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.798527177423239e-4,Tom J. Lynch,0,15875,1,Richmond,28,0
